system:index,distance_to_roads,gridcode,hii,tri,woody_cover,.geo
00000000000000000022,4220.767128148741,S04W24,7.522849839211157,25.262642854324838,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.33476293392346,-0.6151731429828149],[98.48754067167351,-0.6151909782349331],[98.48755407008906,-0.4613921172716351],[98.33478081773659,-0.4613831901780128],[98.33476293392346,-0.6151731429828149]]]}"
00000000000000000023,2628.451083831486,S03W24,5.7047225639487396,23.65224794171017,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.33478081773659,-0.4613831901780128],[98.48755407008906,-0.4613921172716351],[98.48756303028078,-0.30759769293276845],[98.33479418881466,-0.30758876701367155],[98.33478081773659,-0.4613831901780128]]]}"
00000000000000000024,3581.456680786072,S02W24,7.060441906813292,23.739789043991216,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.33479418881466,-0.30758876701367155],[98.48756303028078,-0.30759769293276845],[98.48756746850698,-0.1537988580503818],[98.33479861798479,-0.15379440851173679],[98.33479418881466,-0.30758876701367155]]]}"
00000000000000000025,3248.808486047854,S01W24,4.352675982883819,21.56697499902846,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.33479861798479,-0.15379440851173679],[98.48756746850698,-0.1537988580503818],[98.48756746850698,3.518429345962079E-8],[98.33480313072444,3.5198167541421235E-8],[98.33479861798479,-0.15379440851173679]]]}"
00000000000000000026,13190.49724847491,S09W23,2.1738539590201165,36.65845466251441,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.48742033726079,-1.3841807382207252],[98.64023365775726,-1.384207551430374],[98.64025597751609,-1.2304086844964435],[98.48745148853081,-1.230381939756839],[98.48742033726079,-1.3841807382207252]]]}"
00000000000000000027,7069.785188788147,S08W23,4.964706836755493,34.50951513368204,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.48745148853081,-1.230381939756839],[98.64025597751609,-1.2304086844964435],[98.64027829728145,-1.0766097974749065],[98.48747828533254,-1.0765875440851393],[98.48745148853081,-1.230381939756839]]]}"
00000000000000000028,7282.547534550726,S04W23,7.547956336055209,15.734993002596367,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.48754067167351,-0.6151909782349331],[98.64031840574839,-0.6152043058062057],[98.64032730009747,-0.461405515384952],[98.48755407008906,-0.4613921172716351],[98.48754067167351,-0.6151909782349331]]]}"
00000000000000000029,4437.683843985953,S03W23,4.946756767086494,14.73086149646933,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.48755407008906,-0.4613921172716351],[98.64032730009747,-0.461405515384952],[98.64033627835656,-0.30760219809493794],[98.48756303028078,-0.30759769293276845],[98.48755407008906,-0.4613921172716351]]]}"
0000000000000000002a,6236.538372435967,S02W23,5.179788568601568,19.826766817173148,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.48756303028078,-0.30759769293276845],[98.64033627835656,-0.30760219809493794],[98.640340725532,-0.15380329074083265],[98.48756746850698,-0.1537988580503818],[98.48756303028078,-0.30759769293276845]]]}"
0000000000000000002b,14392.215663115518,S01W23,5.928174331260425,16.362925392914587,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.48756746850698,-0.1537988580503818],[98.640340725532,-0.15380329074083265],[98.640340725532,3.517016842652875E-8],[98.48756746850698,3.518429345962079E-8],[98.48756746850698,-0.1537988580503818]]]}"
0000000000000000002c,21319.045602959748,S10W22,5.57221237006217,40.95228454779337,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.64021142191376,-1.5380108744329384],[98.7930381477448,-1.538028690753415],[98.79305151578623,-1.3842253518313874],[98.64023365775726,-1.384207551430374],[98.64021142191376,-1.5380108744329384]]]}"
0000000000000000002d,16215.369138760721,S09W22,4.437969559329002,52.510709290153876,0.0,"{""type"":""Polygon"",""coordinates"":[[[98.64023365775726,-1.384207551430374],[98.79305151578623,-1.3842253518313874],[98.79306488382997,-1.2304265407832025],[98.64025597751609,-1.2304086844964435],[98.64023365775726,-1.384207551430374]]]}"
