Dem75mInteger_100_no,MinTemp_Jul_100_no,MaxTemp_Jan_100_no,log_vertical_distance_major_streams_sept2012_100_no,wetness_index_saga_sept2012_100_no,Evaporation_Jul_100_no.grd,Evaporation_Jan_100_no.grd,RainDays_Jul_100_no.gri,Rainfall_Jul_100_no.grd,RainDays_Jan_100_no.gri,Rainfall_Jan_100_no.grd,visible_sky_sept2012_100_no
0.320430171,0.18874175,-1.469743112,0.848978271,-0.611497526,-0.741551958,-1.85597746,1.200310796,0.924525657,1.815727378,1.681187114,-1.303194029
1.829023748,-1.286131829,-1.920683677,1.428715448,-2.555552699,-1.751570062,-2.07918023,1.790190285,3.712397087,1.898315248,1.824485562,-3.401446571
1.388217877,-1.14258751,-1.719175019,1.084628659,-2.759824707,-1.593908313,-2.032916426,1.733839742,3.302627942,1.868772486,1.868886045,-3.271166177
0.329752434,0.22915399,-0.782526028,0.931583026,-2.451557439,-1.023857984,-1.296061481,1.292756711,1.414140956,1.032697126,0.880412349,0.128809637
2.43928677,-1.243768604,-2.474485142,1.898728615,-2.000923133,-1.851319392,-2.240105136,1.771247767,3.321959294,2.271347055,1.87203365,-0.312396858
0.352638893,-0.272224036,-1.336693883,1.003503086,-0.020704662,-1.041336729,-1.769576394,1.532631884,2.605083415,1.570356852,1.540027255,-2.604643155
1.551729471,-0.907149929,-1.97318632,1.557408637,-2.006989532,-1.563617698,-2.072110968,1.887901899,3.021877243,2.014049286,1.967129827,-1.063083993
1.358099584,-0.753698999,-1.835960245,1.461882099,-2.389855008,-1.396890661,-2.047291109,1.738414344,2.371490494,2.008133116,1.967129827,-1.5444023
-0.053494898,0.11881019,-1.298749811,0.834031123,-2.239117415,-0.628985681,-1.817961819,1.362704019,1.036169186,1.658765469,1.275995717,0.508347522
0.549480768,-0.202452171,-1.503851987,0.916081573,-1.039309571,-0.949710475,-1.922990798,1.382537889,1.164326415,1.814406431,1.87787066,-0.63069643
-0.05006452,-0.097739825,-1.219385674,0.663817328,-1.216928499,-0.806430684,-1.69832102,1.396598563,2.329437777,1.471289426,1.634296745,-2.438321227
1.432461145,-0.836723256,-1.966470478,1.469322975,-2.095303688,-1.475904995,-2.088354192,1.551199137,1.803224353,2.088174135,1.611810188,-2.667146294
0.157504341,-0.337217263,-0.464220197,-0.258050681,-1.232691277,-1.109766909,-1.440639741,1.100936214,1.978887438,0.780728539,0.609276871,-1.853486893
0.947229706,-0.051978174,-1.777517358,1.612291196,-2.861178377,-1.22677365,-1.854907127,1.786420961,2.185354165,1.855065438,1.776499326,-0.988159495
0.215554256,-0.127922387,-1.17965171,0.866268465,-0.835652263,-0.937271351,-1.680448912,1.432956739,2.569709844,1.445788869,1.492403753,-0.575675368
2.879385651,-1.642037629,-2.662677002,1.890802657,-2.436603687,-2.117160792,-2.273840882,1.735328771,4.017389955,2.139779553,1.98847094,-1.071795145
0.016895864,0.189895456,-1.434918345,-0.047233363,-1.74750221,-0.73143666,-1.837484101,1.130121779,0.916023271,1.783924734,1.720136799,-5.613356281
1.602578091,-0.790790586,-1.620861893,1.761057908,-0.548419809,-1.726745085,-1.68938967,1.807533144,3.434377617,1.218807042,1.516376218,0.039209626
1.886527689,-1.151825241,-1.921380893,1.640889683,-2.064399672,-1.816171844,-1.980598124,1.903813421,4.235846636,1.502515519,1.779635806,-1.703810046
1.659823852,-0.679108343,-1.920731387,1.741041426,-2.827492583,-1.755668843,-1.849144059,1.977205672,4.076965294,1.657365381,2.086313384,-2.469054022
0.217660418,-0.373964092,-1.118310229,0.03068102,-0.153096748,-1.088184549,-1.70470256,1.453111833,2.580600155,1.378767838,1.218914315,-2.184494963
1.566373585,-1.049707205,-1.763195462,1.355104153,-2.629958865,-1.541698981,-2.049639314,1.618010608,2.599036079,1.947944492,1.681841297,-3.192513372
0.8935411,-0.533052418,-1.741095239,1.426808371,-1.91790545,-1.224991282,-1.959903791,1.724573584,2.26300013,1.859392744,1.848934769,-1.920943884
0.48552879,-0.213862468,-1.386672015,1.003303391,-2.756312764,-0.851691997,-1.89972745,1.374387469,1.045140046,1.744741238,1.752869712,-0.759673317
0.361708527,-0.021019672,-1.444348809,1.032183184,-2.275419203,-0.789763597,-1.892059005,1.345776766,0.92207227,1.811316962,1.706188779,0.267725398
1.236118974,-0.553977674,-1.308112619,1.6750506,-0.812036766,-1.584743798,-1.363681448,1.485959796,1.635737462,0.999527873,0.636177631,-0.670517272
2.221313878,-1.509500343,-2.020470208,1.667638152,-2.127242292,-1.8932117,-2.087962739,1.58031412,3.875914042,1.765928012,1.634371102,-0.197696959
0.939153003,-0.259020353,-0.943311652,1.515317838,-2.679563327,-1.311454037,-1.338856664,1.414511417,1.630057188,0.950642849,0.700818483,-1.416928333
1.614725534,-0.513238243,-1.904435405,1.769428141,-1.602447941,-1.696823151,-1.825966867,1.989760672,3.386201572,1.788792214,2.051151722,-2.78193084
2.344985154,-1.353173749,-2.104093333,1.699390627,-2.252645471,-1.935169707,-2.059542721,1.896752482,4.365337045,1.624614927,1.85809221,0.496151865
0.911308366,-0.209391769,-1.712035719,1.328938582,-1.930850283,-1.060402414,-1.968450416,1.341564751,1.050998957,1.964355614,1.85471552,0.128111279
