project ID,deployment ID ,observation date/time,# adult males,# adult  females,# adults sex unknown,# Subadults (either sex - 1-2 years old),# cubs (either sex - 1-12 month old),,,,,,
BBSNP2015,BBS-2015-Loc-64,8/19/2015 8:51,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-64,8/19/2015 8:51,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,8/18/2015 15:50,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,8/18/2015 15:50,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,8/18/2015 15:50,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,8/18/2015 15:51,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,8/18/2015 15:51,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,8/18/2015 15:51,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,10/11/2015 6:29,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,10/11/2015 6:34,,,1,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,10/26/2015 16:20,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,10/26/2015 16:20,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-67,10/26/2015 16:20,1,,,,,,,,,,
BBSNP2015,BBS-2015-Loc-68,8/18/2015 6:27,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-68,8/18/2015 6:27,,1,,,,,,,,,
BBSNP2015,BBS-2015-Loc-68,8/18/2015 6:27,,1,,,,,,,,,
