survey id,# replicates surveyed,grid cell label,start date,observation,replicate #,sumatragridmrgd2_centroids_srtm_srtm_1,sumatragridmrgd2_centroids_hii_hii_1
SumatraSurvey10,"39",N30W40,1/1/2008,"1","12",84.000000000000000,12.250537872314453
SumatraSurvey10,"39",N30W40,1/1/2008,"1","14",84.000000000000000,12.250537872314453
SumatraSurvey10,"34",N31W29,1/1/2008,"1","7",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","10",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","13",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","17",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","18",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","19",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","21",113.000000000000000,13.258657455444336
SumatraSurvey10,"34",N31W29,1/1/2008,"1","24",113.000000000000000,13.258657455444336
SumatraSurvey10,"37",N31W30,1/1/2008,"0","1",217.000000000000000,2.000216245651245
SumatraSurvey10,"37",N31W31,1/1/2008,"0","1",641.000000000000000,8.036624908447266
SumatraSurvey10,"39",N31W32,1/1/2008,"1","9",316.000000000000000,8.001007080078125
SumatraSurvey10,"22",N31W33,2/15/2009,"0","1",791.000000000000000,2.250246524810791
SumatraSurvey10,"24",N31W34,1/1/2008,"0","1",1357.000000000000000,15.629548072814941
SumatraSurvey10,"26",N31W36,1/1/2008,"1","6",958.000000000000000,3.000000000000000
SumatraSurvey10,"27",N31W37,1/1/2008,"0","1",1305.000000000000000,1.000000000000000
SumatraSurvey10,"27",N31W38,1/1/2008,"1","3",460.000000000000000,3.000000000000000
SumatraSurvey10,"27",N31W38,1/1/2008,"1","22",460.000000000000000,3.000000000000000
SumatraSurvey10,"26",N31W39,1/1/2008,"1","26",836.000000000000000,2.000000000000000
SumatraSurvey10,"38",N31W40,1/1/2008,"1","22",826.000000000000000,10.000000000000000
SumatraSurvey10,"52",N31W41,1/1/2008,"1","5",350.000000000000000,12.250003814697266
SumatraSurvey10,"52",N31W41,1/1/2008,"1","10",350.000000000000000,12.250003814697266
SumatraSurvey10,"52",N31W41,1/1/2008,"1","32",350.000000000000000,12.250003814697266
SumatraSurvey10,"28",N31W42,1/1/2008,"0","1",76.000000000000000,10.265731811523438
SumatraSurvey10,"20",N32W31,1/1/2008,"1","11",88.000000000000000,7.264620780944824
SumatraSurvey10,"20",N32W31,1/1/2008,"1","15",88.000000000000000,7.264620780944824
SumatraSurvey10,"20",N32W31,1/1/2008,"1","19",88.000000000000000,7.264620780944824
SumatraSurvey10,"50",N32W32,11/20/2008,"1","29",410.000000000000000,7.000000000000000
SumatraSurvey10,"50",N32W32,11/20/2008,"1","30",410.000000000000000,7.000000000000000
SumatraSurvey10,"38",N32W36,1/1/2008,"0","1",839.000000000000000,2.000000000000000
SumatraSurvey10,"23",N32W37,1/1/2008,"1","1",1307.000000000000000,3.000000000000000
SumatraSurvey10,"25",N32W38,1/1/2008,"1","9",1701.000000000000000,2.000000000000000
SumatraSurvey10,"25",N32W38,1/1/2008,"1","22",1701.000000000000000,2.000000000000000
SumatraSurvey10,"19",N32W40,1/1/2008,"0","1",600.000000000000000,3.250298023223877
SumatraSurvey10,"41",N32W41,1/1/2008,"0","1",309.000000000000000,1.000000000000000
SumatraSurvey10,"22",N32W42,1/1/2008,"0","1",404.000000000000000,2.250246524810791
